,0
1114,OMOP_42898948
1115,OMOP_42899487
1116,OMOP_42900121
1117,OMOP_42900125
1118,OMOP_42900194
1119,OMOP_42900130
1120,OMOP_42899779
1121,OMOP_42900136
1122,OMOP_42900183
1123,OMOP_42900471
1124,OMOP_42899449
1125,OMOP_42900126
1126,OMOP_42899941
1127,OMOP_42900150
1128,OMOP_42900162
1129,OMOP_42900146
1130,OMOP_42900123
1131,OMOP_42900149
1132,OMOP_42900167
1133,OMOP_42900177
1134,OMOP_42900155
1135,OMOP_42900161
1136,OMOP_42899762
1137,OMOP_42900124
1138,OMOP_42900145
1139,OMOP_42900147
1140,OMOP_42900148
1141,OMOP_42900157
1142,OMOP_42900159
1143,OMOP_42900172
1144,OMOP_42900174
1145,OMOP_42900175
1146,OMOP_42900179
1147,OMOP_42900181
1148,OMOP_42900185
1149,OMOP_42900186
1150,OMOP_42899372
1151,OMOP_42900193
1152,OMOP_42900137
1153,OMOP_42900173
1154,OMOP_42899254
1155,OMOP_42900127
1156,OMOP_42899746
1157,OMOP_42900129
1158,OMOP_42900128
1159,OMOP_42900203
1160,OMOP_42899417
1161,OMOP_42900268
1162,OMOP_42900359
1163,OMOP_42899383
1164,OMOP_42898926
1165,OMOP_42899020
1166,OMOP_42899252
1167,OMOP_42900473
1168,OMOP_42900424
1169,OMOP_42899555
1170,OMOP_42900204
1171,OMOP_42899716
1172,OMOP_42900555
1173,OMOP_42899019
1174,OMOP_42900132
1175,OMOP_42900134
1176,OMOP_42899319
1177,OMOP_42899869
1178,OMOP_42900138
1179,OMOP_42900139
1180,OMOP_42900131
1181,OMOP_42900140
1182,OMOP_42900141
1183,OMOP_42900143
1184,OMOP_42900152
1185,OMOP_42900156
1186,OMOP_42900158
1187,OMOP_42900160
1188,OMOP_42900164
1189,OMOP_42900169
1190,OMOP_42900170
1191,OMOP_42900171
1192,OMOP_42900178
1193,OMOP_42900180
1194,OMOP_42900182
1195,OMOP_42900184
1196,OMOP_42900187
1197,OMOP_42900188
1198,OMOP_42900189
1199,OMOP_42900190
1200,OMOP_42900191
1201,OMOP_42900192
1202,OMOP_42900144
1203,OMOP_42899580
1204,OMOP_42900151
1205,OMOP_42900122
1206,OMOP_42900154
1207,OMOP_42900072
1208,OMOP_42899264
1209,OMOP_42900483
1210,OMOP_42898756
1211,OMOP_42900432
1212,OMOP_42900012
1213,OMOP_42900105
1214,OMOP_42900474
1215,OMOP_42900051
1216,OMOP_42900070
1217,OMOP_42899740
1218,OMOP_42898681
1219,OMOP_42899109
1220,OMOP_42899258
1221,OMOP_42899728
1222,OMOP_42899870
1223,OMOP_42900350
1224,OMOP_42899790
1225,OMOP_42899489
1226,OMOP_42900475
1227,OMOP_42898323
1228,OMOP_42900486
1229,OMOP_42898737
1230,OMOP_42898999
1231,OMOP_42899665
1232,OMOP_42899951
1233,OMOP_42899021
1234,OMOP_42899035
1235,OMOP_42898975
1236,OMOP_42900367
1237,OMOP_42900416
1238,OMOP_42899841
1239,OMOP_42900224
1240,OMOP_42898386
1241,OMOP_42900085
1242,OMOP_42900038
1243,OMOP_42899737
1244,OMOP_42900491
1245,OMOP_42899819
1246,OMOP_42898316
1247,OMOP_42899633
